['Documentation', 'Ritik Singh', '2024-06-27T00:43:30Z']
['final changes', 'Ritik Singh', '2024-06-26T23:59:17Z']
['receive emails,send to ai, fetch and reply', 'Ritik Singh', '2024-06-26T19:02:40Z']
['process email', 'Ritik Singh', '2024-06-26T17:52:19Z']
['send reply emails', 'Ritik Singh', '2024-06-26T15:25:24Z']
['Send query to llama ai and get response', 'Ritik Singh', '2024-06-26T14:46:05Z']
['openAI integration', 'Ritik Singh', '2024-06-26T00:13:21Z']
['BullMQ integration fetch emails and push in queue', 'Ritik Singh', '2024-06-25T20:47:56Z']
['BullMQ integration fetch email from sender', 'Ritik Singh', '2024-06-25T20:43:52Z']
['Fetch and send email from inbox', 'Ritik Singh', '2024-06-25T15:23:43Z']
['Login with oauth', 'Ritik Singh', '2024-06-25T10:38:30Z']
['Login functionality with oauth', 'Ritik Singh', '2024-06-25T10:37:10Z']
['Initialization and package installations', 'Ritik Singh', '2024-06-25T06:08:17Z']
